교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도코드,발생지시도코드,사고유형대분류코드,사고유형중분류코드,사고유형코드,법규위반코드,도로형태대분류코드,도로로형태코드
20613,2016-10-14 01,야간,금,1,2,1,0,0,전남,무안군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20614,2016-02-27 01,야간,토,1,1,0,0,0,제주,제주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20615,2016-07-19 00,야간,화,1,2,1,0,0,충북,진천군,차대차,기타,기타,중앙선 침범,단일로,기타단일로
20616,2016-08-31 17,주간,수,1,1,0,0,0,경북,문경시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20617,2016-08-01 20,야간,월,1,4,1,2,0,충남,홍성군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20618,2016-04-15 13,주간,금,1,1,0,0,0,경기,포천시,차대차,추돌,진행중 추돌,과속,단일로,기타단일로
20619,2016-08-29 06,주간,월,1,3,1,1,0,세종,세종,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20620,2016-07-28 04,야간,목,1,1,0,0,0,경기,동두천시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20621,2016-02-10 19,야간,수,1,1,0,0,0,경기,시흥시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
20622,2016-10-09 02,야간,일,1,1,0,0,0,부산,중구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로
20623,2016-07-08 20,야간,금,1,1,0,0,0,경북,상주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20624,2016-03-15 14,주간,화,1,2,1,0,0,제주,서귀포시,차대차,기타,기타,기타,교차로,교차로내
20625,2016-07-10 11,주간,일,1,1,0,0,0,경북,상주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20626,2016-03-29 06,주간,화,1,1,0,0,0,대구,수성구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,고가도로위
20627,2016-03-17 22,야간,목,1,1,0,0,0,서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20628,2016-04-02 22,야간,토,1,1,0,0,0,경기,안성시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20629,2016-06-14 08,주간,화,1,1,0,0,0,경기,여주시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로
20630,2016-03-28 11,주간,월,1,4,0,3,0,경기,성남시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20631,2016-07-28 05,야간,목,1,3,1,1,0,대구,북구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20632,2016-07-28 23,야간,목,1,1,0,0,0,경북,구미시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20633,2016-06-05 13,주간,일,1,1,0,0,0,경북,김천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
20634,2016-02-04 10,주간,목,1,1,0,0,0,경기,수원시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20635,2016-02-27 09,주간,토,1,1,0,0,0,전북,군산시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20636,2016-09-03 07,주간,토,1,1,0,0,0,세종,세종,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20637,2016-02-20 18,야간,토,1,1,0,0,0,제주,제주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20638,2016-04-13 19,야간,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20639,2016-11-19 11,주간,토,1,3,2,0,0,경남,창녕군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20640,2016-07-02 15,주간,토,1,9,3,5,0,강원,삼척시,차대차,추돌,진행중 추돌,과속,단일로,기타단일로
20641,2016-08-01 10,주간,월,1,1,0,0,0,경북,성주군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20642,2016-04-26 13,주간,화,1,1,0,0,0,충남,당진시,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,단일로,횡단보도상
20643,2016-05-05 17,주간,목,1,1,0,0,0,경기,부천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
20644,2016-07-22 17,주간,금,1,1,0,0,0,충북,진천군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20645,2016-04-19 01,야간,화,2,5,2,1,0,경기,포천시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20646,2016-07-24 01,야간,일,1,1,0,0,0,전북,정읍시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20647,2016-07-07 18,야간,목,1,1,0,0,0,전남,나주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20648,2016-04-07 03,야간,목,1,1,0,0,0,경북,안동시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20649,2016-04-23 20,야간,토,1,1,0,0,0,울산,울주군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20650,2016-09-08 20,야간,목,1,1,0,0,0,전남,영암군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
20651,2016-04-24 15,주간,일,1,3,0,1,1,울산,울주군,차대차,측면충돌,측면충돌,기타,교차로,교차로부근
20652,2016-06-12 00,야간,일,1,1,0,0,0,서울,종로구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
20653,2016-04-28 18,야간,목,1,1,0,0,0,충북,제천시,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내
20654,2016-05-28 14,주간,토,1,1,0,0,0,충남,보령시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20655,2016-07-13 16,주간,수,1,1,0,0,0,경북,상주시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
20656,2016-02-08 23,야간,월,1,2,1,0,0,경기,고양시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20657,2016-05-23 08,주간,월,1,1,0,0,0,강원,속초시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근
20658,2016-08-13 11,주간,토,1,1,0,0,0,충남,홍성군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20659,2016-10-13 05,야간,목,1,1,0,0,0,부산,중구,차대사람,기타,기타,안전운전 의무 불이행,단일로,횡단보도상
20660,2016-04-09 10,주간,토,1,2,0,1,0,인천,중구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20661,2016-10-27 18,야간,목,1,1,0,0,0,전남,해남군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20662,2016-02-18 00,야간,목,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,과속,단일로,횡단보도상
20663,2016-07-14 12,주간,목,1,2,1,0,0,경북,상주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20664,2016-09-19 14,주간,월,1,2,0,1,0,충북,괴산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20665,2016-04-21 13,주간,목,1,2,1,0,0,경기,포천시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20666,2016-02-14 03,야간,일,1,1,0,0,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,단일로,고가도로위
20667,2016-03-04 05,야간,금,1,3,1,1,0,부산,수영구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20668,2016-11-21 16,주간,월,1,1,0,0,0,충남,서천군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20669,2016-02-14 17,주간,일,1,2,1,0,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근
20670,2016-05-02 07,주간,월,1,1,0,0,0,서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내
20671,2016-11-23 10,주간,수,1,1,0,0,0,충남,서천군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
20672,2016-06-25 09,주간,토,1,1,0,0,0,경남,밀양시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20673,2016-02-12 01,야간,금,1,1,0,0,0,경기,부천시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내
20674,2016-11-02 14,주간,수,1,1,0,0,0,전남,해남군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20675,2016-08-18 06,주간,목,1,1,0,0,0,충남,홍성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20676,2016-03-18 17,주간,금,1,1,0,0,0,경남,거제시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내
20677,2016-03-10 02,야간,목,1,1,0,0,0,울산,남구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,교량위
20678,2016-11-06 06,주간,일,1,1,0,0,0,전남,무안군,차대사람,기타,기타,기타,단일로,기타단일로
20679,2016-12-03 22,야간,토,1,1,0,0,0,경남,창녕군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20680,2016-04-12 09,주간,화,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20681,2016-08-19 15,주간,금,1,1,0,0,0,충남,홍성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20682,2016-06-01 13,주간,수,1,1,0,0,0,충남,보령시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20683,2016-03-02 16,주간,수,1,1,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내
20684,2016-02-25 06,주간,목,1,1,0,0,0,경기,안산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20685,2016-07-04 09,주간,월,1,1,0,0,0,충북,음성군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20686,2016-12-28 20,야간,수,1,1,0,0,0,경남,함안군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
20687,2016-04-09 21,야간,토,1,1,0,0,0,경북,안동시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20688,2016-08-24 09,주간,수,1,1,0,0,0,전북,남원시,차량단독,전도전복,전도전복,안전운전 의무 불이행,기타/불명,기타/불명
20689,2016-03-28 19,야간,월,1,1,0,0,0,충남,태안군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20690,2016-12-30 21,야간,금,1,1,0,0,0,경남,함안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
20691,2016-07-08 18,야간,금,1,1,0,0,0,울산,북구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20692,2016-05-27 10,주간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20693,2016-08-22 09,주간,월,1,1,0,0,0,충남,홍성군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20694,2016-03-13 05,야간,일,1,1,0,0,0,대구,북구,차대사람,횡단중,횡단중,과속,교차로,교차로부근
20695,2016-03-22 14,주간,화,1,1,0,0,0,제주,서귀포시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20696,2016-04-16 15,주간,토,1,3,2,0,0,부산,북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20697,2016-09-02 13,주간,금,1,1,0,0,0,전북,완주군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20698,2016-03-03 03,야간,목,1,1,0,0,0,충북,청주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로부근
20699,2016-10-02 14,주간,일,1,1,0,0,0,충북,괴산군,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로부근
20700,2016-06-16 21,야간,목,1,2,1,0,0,경기,의왕시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20701,2016-11-10 16,주간,목,1,2,1,0,0,전남,해남군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20702,2016-11-28 18,야간,월,1,1,0,0,0,전북,부안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20703,2016-04-07 08,주간,목,1,2,0,1,0,경기,이천시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내
20704,2016-02-29 04,야간,월,1,2,0,1,0,인천,서구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20705,2016-12-13 21,야간,화,1,1,0,0,0,경남,창녕군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20706,2016-03-02 16,주간,수,1,1,0,0,0,경기,김포시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
20707,2016-07-13 19,야간,수,1,1,0,0,0,경남,사천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
20708,2016-02-25 23,야간,목,1,1,0,0,0,대구,동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20709,2016-04-12 07,주간,화,1,1,0,0,0,경북,안동시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20710,2016-12-02 16,주간,금,1,1,0,0,0,전북,부안군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20711,2016-07-17 07,주간,일,1,1,0,0,0,전북,완주군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20712,2016-12-02 18,야간,금,1,1,0,0,0,전북,부안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
20713,2016-04-24 01,야간,일,1,1,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
20714,2016-06-03 19,야간,금,1,1,0,0,0,경북,영천시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20715,2016-07-05 23,야간,화,1,1,0,0,0,전북,김제시,차대사람,횡단중,횡단중,과속,교차로,교차로내
20716,2016-04-02 16,주간,토,1,1,0,0,0,충북,충주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20717,2016-02-21 10,주간,일,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근
20718,2016-03-04 19,야간,금,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도상
20719,2016-09-06 17,주간,화,1,6,3,2,0,전남,함평군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20720,2016-02-19 18,야간,금,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20721,2016-11-15 14,주간,화,1,1,0,0,0,전남,해남군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20722,2016-04-27 00,야간,수,1,1,0,0,0,경기,포천시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20723,2016-02-06 19,야간,토,1,1,0,0,0,경기,수원시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20724,2016-08-15 19,야간,월,1,1,0,0,0,경기,가평군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20725,2016-08-12 22,야간,금,1,1,0,0,0,충남,공주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
20726,2016-07-19 15,주간,화,1,1,0,0,0,전북,완주군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20727,2016-09-04 09,주간,일,1,1,0,0,0,전북,남원시,차대차,측면충돌,측면충돌,기타,교차로,교차로내
20728,2016-04-09 10,주간,토,1,1,0,0,0,경기,안성시,차량단독,전도전복,전도전복,안전운전 의무 불이행,기타/불명,기타/불명
20729,2016-09-26 19,야간,월,1,2,1,0,0,세종,세종,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20730,2016-03-21 12,주간,월,1,1,0,0,0,전남,순천시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20731,2016-07-02 02,야간,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
20732,2016-11-30 22,야간,수,1,1,0,0,0,경기,과천시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20733,2016-07-14 08,주간,목,1,1,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
20734,2016-07-17 09,주간,일,2,5,0,3,0,강원,삼척시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20735,2016-09-27 09,주간,화,1,2,0,1,0,경북,문경시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20736,2016-06-03 01,야간,금,1,1,0,0,0,강원,양양군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20737,2016-03-18 02,야간,금,1,3,2,0,0,전남,여수시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20738,2016-11-26 16,주간,토,1,3,0,2,0,전남,무안군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내
20739,2016-05-19 13,주간,목,2,6,2,2,0,인천,부평구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20740,2016-03-20 07,주간,일,1,2,1,0,0,서울,양천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20741,2016-03-26 02,야간,토,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,교량위
20742,2016-03-02 15,주간,수,1,2,0,1,0,대전,중구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20743,2016-02-28 17,주간,일,1,1,0,0,0,경북,경산시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
20744,2016-12-26 18,야간,월,1,1,0,0,0,충남,서천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20745,2016-04-10 17,주간,일,1,1,0,0,0,부산,사하구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20746,2016-08-23 18,야간,화,1,1,0,0,0,충남,공주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20747,2016-07-13 07,주간,수,1,1,0,0,0,전북,김제시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20748,2016-10-10 06,주간,월,1,1,0,0,0,전남,영암군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
20749,2016-05-22 17,주간,일,1,5,3,1,0,경기,안양시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
20750,2016-03-22 06,주간,화,1,1,0,0,0,경북,포항시,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20751,2016-08-09 08,주간,화,1,1,0,0,0,전남,나주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20752,2016-09-13 05,야간,화,1,1,0,0,0,전북,남원시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20753,2016-06-04 13,주간,토,1,3,2,0,0,강원,양양군,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로부근
20754,2016-08-15 08,주간,월,1,1,0,0,0,전북,정읍시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
20755,2016-08-20 06,주간,토,1,1,0,0,0,경북,영주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내
20756,2016-03-16 18,야간,수,1,1,0,0,0,강원,춘천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
20757,2016-03-31 21,야간,목,1,1,0,0,0,서울,동작구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20758,2016-07-26 22,야간,화,1,2,0,1,0,전북,완주군,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로부근
20759,2016-06-08 08,주간,수,1,2,0,1,0,경남,창원시(통합),차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근
20760,2016-10-12 12,주간,수,1,1,0,0,0,전남,영암군,차대사람,횡단중,횡단중,과속,교차로,교차로부근
20761,2016-08-30 02,야간,화,1,2,0,1,0,경북,칠곡군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20762,2016-04-12 22,야간,화,1,4,3,0,0,부산,사하구,차대차,측면충돌,측면충돌,신호위반,기타/불명,기타/불명
20763,2016-05-28 22,야간,토,1,1,0,0,0,인천,부평구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내
20764,2016-08-16 08,주간,화,1,1,0,0,0,강원,홍천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
20765,2016-02-24 17,주간,수,1,3,2,0,0,경기,파주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20766,2016-11-29 06,주간,화,1,1,0,0,0,전남,해남군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
20767,2016-08-10 08,주간,수,1,1,0,0,0,경북,상주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,단일로,기타단일로
20768,2016-07-16 10,주간,토,1,2,1,0,0,전북,김제시,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로내
20769,2016-08-31 22,야간,수,1,5,1,2,1,대구,동구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20770,2016-08-10 15,주간,수,1,3,2,0,0,경북,상주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
20771,2016-12-16 03,야간,금,1,1,0,0,0,경기,과천시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,교차로,교차로부근
20772,2016-04-07 19,야간,목,1,1,0,0,0,경기,성남시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로부근
20773,2016-08-20 21,야간,토,1,1,0,0,0,전북,정읍시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20774,2016-04-13 02,야간,수,1,1,0,0,0,경남,김해시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20775,2016-03-30 03,야간,수,1,1,0,0,0,경기,광명시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20776,2016-04-01 09,주간,금,1,1,0,0,0,경남,양산시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20777,2016-03-20 20,야간,일,1,1,0,0,0,전남,여수시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
20778,2016-05-14 17,주간,토,1,1,0,0,0,경남,통영시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근
20779,2016-05-10 02,야간,화,1,1,0,0,0,서울,성북구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20780,2016-05-30 12,주간,월,1,2,0,1,0,경북,칠곡군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
20781,2016-06-17 17,주간,금,1,1,0,0,0,경북,영천시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
20782,2016-12-30 23,야간,금,1,1,0,0,0,전북,부안군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
20783,2016-03-10 05,야간,목,1,1,0,0,0,경북,경주시,차대사람,기타,기타,과속,단일로,기타단일로
20784,2016-09-03 05,야간,토,2,3,1,0,0,경북,포항시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20785,2016-03-15 19,야간,화,1,1,0,0,0,경기,광주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20786,2016-07-22 21,야간,금,1,2,0,1,0,충북,음성군,차대사람,횡단중,횡단중,신호위반,교차로,교차로내
20787,2016-09-03 15,주간,토,1,3,2,0,0,충남,공주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내
20788,2016-03-20 01,야간,일,1,1,0,0,0,전남,목포시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
20789,2016-03-08 20,야간,화,1,1,0,0,0,대구,서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20790,2016-09-06 01,야간,화,1,1,0,0,0,경북,김천시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20791,2016-03-23 00,야간,수,1,3,0,2,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20792,2016-10-14 12,주간,금,1,3,2,0,0,세종,세종,차대차,측면충돌,측면충돌,기타,단일로,기타단일로
20793,2016-10-19 09,주간,수,1,1,0,0,0,전남,영암군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
20794,2016-04-03 03,야간,일,2,2,0,0,0,서울,동작구,차대차,추돌,진행중 추돌,과속,단일로,기타단일로
20795,2016-06-10 18,야간,금,1,4,2,1,0,강원,속초시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20796,2016-07-24 12,주간,일,1,1,0,0,0,충북,음성군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
20797,2016-10-15 23,야간,토,1,1,0,0,0,세종,세종,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
20798,2016-03-05 02,야간,토,1,1,0,0,0,인천,서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20799,2016-03-25 08,주간,금,1,1,0,0,0,서울,양천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20800,2016-09-08 12,주간,목,1,4,0,3,0,경북,구미시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
20801,2016-08-31 06,주간,수,1,2,0,0,1,경기,가평군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,교차로,교차로부근
20802,2016-03-23 21,야간,수,1,2,0,1,0,전남,여수시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
20803,2016-09-08 09,주간,목,1,1,0,0,0,충남,공주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20804,2016-04-09 23,야간,토,1,1,0,0,0,충북,충주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20805,2016-03-14 23,야간,월,1,1,0,0,0,경북,포항시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20806,2016-10-15 20,야간,토,1,1,0,0,0,경북,문경시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
20807,2016-07-13 18,야간,수,1,1,0,0,0,경기,양평군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로
20808,2016-06-23 07,주간,목,1,1,0,0,0,경북,영천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근
20809,2016-04-08 10,주간,금,1,1,0,0,0,충남,태안군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
20810,2016-06-30 18,야간,목,1,1,0,0,0,충남,논산시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내
20811,2016-04-29 13,주간,금,1,2,0,1,0,부산,금정구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
